290: Acc-tr:  99.98, Acc-val:  56.62, L-tr: 0.0043, L-val: 2.1623
291: Acc-tr:  99.98, Acc-val:  56.49, L-tr: 0.0041, L-val: 2.1722
292: Acc-tr:  99.98, Acc-val:  56.40, L-tr: 0.0042, L-val: 2.1669
293: Acc-tr:  99.98, Acc-val:  56.28, L-tr: 0.0042, L-val: 2.1748
294: Acc-tr:  99.98, Acc-val:  56.56, L-tr: 0.0041, L-val: 2.1740
295: Acc-tr:  99.98, Acc-val:  56.63, L-tr: 0.0041, L-val: 2.1677
296: Acc-tr:  99.98, Acc-val:  56.64, L-tr: 0.0041, L-val: 2.1732
297: Acc-tr:  99.98, Acc-val:  56.51, L-tr: 0.0041, L-val: 2.1677
298: Acc-tr:  99.98, Acc-val:  56.63, L-tr: 0.0042, L-val: 2.1686
299: Acc-tr:  99.98, Acc-val:  56.58, L-tr: 0.0042, L-val: 2.1633
